Name	C_inv	C_maint	C_op
NUCLEAR	731.284326	611.718850	0.000000
CCGT	153.754224	80.684139	0.000000
CCGT_AMMONIA	0.000000	0.000000	0.000000
COAL_US	24.128672	7.627581	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	347.642382	82.259151	0.000000
WIND_ONSHORE	129.669443	36.219640	0.000000
WIND_OFFSHORE	514.184702	85.915152	0.000000
HYDRO_RIVER	14.040369	4.199929	0.000000
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	80.464040	107.164630	0.000000
IND_COGEN_WOOD	0.000000	0.000000	0.000000
IND_COGEN_WASTE	11.345104	8.665764	0.000000
IND_BOILER_GAS	22.596673	6.749005	0.000000
IND_BOILER_WOOD	0.000000	0.000000	0.000000
IND_BOILER_OIL	6.787573	2.176311	0.000000
IND_BOILER_COAL	17.460133	5.205609	0.000000
IND_BOILER_WASTE	2.194338	0.654226	0.000000
IND_DIRECT_ELEC	0.000000	0.000000	0.000000
DHN_HP_ELEC	1.031583	0.724765	0.000000
DHN_COGEN_GAS	20.087431	12.168929	0.000000
DHN_COGEN_WOOD	1.367056	1.037045	0.000000
DHN_COGEN_WET_BIOMASS	0.000028	0.000047	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000049	0.000032	0.000000
DHN_COGEN_WASTE	7.925126	6.053471	0.000000
DHN_BOILER_GAS	1.342522	0.400975	0.000000
DHN_BOILER_WOOD	0.000000	0.000000	0.000000
DHN_BOILER_OIL	0.556326	0.178376	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000000	0.000000	0.000000
DEC_HP_ELEC	18.235716	11.916292	0.000000
DEC_THHP_GAS	0.000000	0.000000	0.000000
DEC_COGEN_GAS	28.661452	31.630210	0.000000
DEC_COGEN_OIL	0.000000	0.000000	0.000000
DEC_ADVCOGEN_GAS	0.000000	0.000000	0.000000
DEC_ADVCOGEN_H2	0.000000	0.000000	0.000000
DEC_BOILER_GAS	232.472766	103.990528	0.000000
DEC_BOILER_WOOD	171.243165	89.326148	0.000000
DEC_BOILER_OIL	256.245674	229.124118	0.000000
DEC_SOLAR	19.355875	3.687091	0.000000
DEC_DIRECT_ELEC	0.000000	0.000000	0.000000
TRAMWAY_TROLLEY	8.945545	4.296695	0.000000
BUS_COACH_DIESEL	147.738117	104.222398	0.000000
BUS_COACH_HYDIESEL	0.000000	0.000000	0.000000
BUS_COACH_CNG_STOICH	31.301808	21.813990	0.000000
BUS_COACH_FC_HYBRIDH2	0.000000	0.000000	0.000000
TRAIN_PUB	185.277117	200.038615	0.000000
CAR_GASOLINE	4131.715523	2300.758884	0.000000
CAR_DIESEL	4218.170123	2272.294985	0.000000
CAR_NG	17.620546	9.487662	0.000000
CAR_METHANOL	0.000000	0.000000	0.000000
CAR_HEV	272.538481	201.612810	0.000000
CAR_PHEV	0.000067	0.000045	0.000000
CAR_BEV	52.610445	7.906385	0.000000
CAR_FUEL_CELL	0.000000	0.000000	0.000000
TRAIN_FREIGHT	8.774173	5.249514	0.000000
BOAT_FREIGHT_DIESEL	26.062711	41.223354	0.000000
BOAT_FREIGHT_NG	0.000000	0.000000	0.000000
BOAT_FREIGHT_METHANOL	0.000000	0.000000	0.000000
TRUCK_DIESEL	1649.052320	1163.320740	0.000000
TRUCK_FUEL_CELL	0.000000	0.000000	0.000000
TRUCK_NG	0.000000	0.000000	0.000000
TRUCK_METHANOL	0.000000	0.000000	0.000000
TRUCK_ELEC	0.000000	0.000000	0.000000
HABER_BOSCH	63.446270	21.297097	0.000000
OIL_TO_HVC	154.541695	10.963006	0.000000
GAS_TO_HVC	0.000000	0.000000	0.000000
BIOMASS_TO_HVC	0.000000	0.000000	0.000000
METHANOL_TO_HVC	0.000000	0.000000	0.000000
SYN_METHANOLATION	0.000000	0.000000	0.000000
METHANE_TO_METHANOL	0.000000	0.000000	0.000000
BIOMASS_TO_METHANOL	0.000000	0.000000	0.000000
PHS	10.920097	0.000000	0.000000
