source,target,realValue,layerID,layerColor,layerUnit
Imp. Diesel,Diesel,31.87,Diesel,#D3D3D3,TWh
Diesel,Mob priv,17.05,Diesel,#D3D3D3,TWh
Diesel,Mob public,2.43,Diesel,#D3D3D3,TWh
Diesel,Freight,12.39,Diesel,#D3D3D3,TWh
Imp. NG,Gas,118.30,Gas,#FFD700,TWh
Gas Prod,SNG sto.,14.00,GAS,#FFD700,TWh
SNG sto.,Gas,13.72,GAS,#FFD700,TWh
Gas Prod,Gas,1.41,GAS,#FFD700,TWh
Gas,Mob priv,0.10,GAS,#FFD700,TWh
Gas,Mob public,6.51,GAS,#FFD700,TWh
Gas,Freight,5.03,GAS,#FFD700,TWh
Gas,Elec,9.79,GAS,#FFD700,TWh
Gas,CHP,23.60,GAS,#FFD700,TWh
Gas,HPs,13.55,GAS,#FFD700,TWh
Gas,Boilers,74.93,GAS,#FFD700,TWh
Electricity,Elec,26.70,Electricity,#00BFFF,TWh
Uranium,Elec,41.32,Nuclear,#FFC0CB,TWh
Wind,Elec,42.53,Wind,#27AE34,TWh
Hydro River,Elec,0.48,Hydro River,#0000FF,TWh
Coal,Boilers,23.21,Coal,#A0522D,TWh
Solar,Elec,24.53,Solar,#FFFF00,TWh
Solar,Dec. sto,0.00,Solar,#FFFF00,TWh
Solar,Heat LT Dec,0.25,Solar,#FFFF00,TWh
Waste,Boilers,17.80,Waste,#808000,TWh
Imp. Oil,Oil,-11.33,Oil,#8B008B,TWh
Oil,Boilers,11.33,Oil,#8B008B,TWh
Wood,Boilers,23.40,Wood,#CD853F,TWh
Wet biomass,Biomethanation,38.90,Wood,#CD853F,TWh
Biomethanation,Gas Prod,15.41,GAS,#FFD700,TWh
Biomethanation,Elec,1.22,Electricity,#00BFFF,TWh
Elec,Mob priv,11.99,Electricity,#00BFFF,TWh
Elec,Mob public,0.74,Electricity,#00BFFF,TWh
Elec,Freight,1.46,Electricity,#00BFFF,TWh
Elec,Exp & Loss,5.96,Electricity,#00BFFF,TWh
Elec,Curt.,0.27,Electricity,#00BFFF,TWh
Elec,Elec demand,95.15,Electricity,#00BFFF,TWh
Solar,Curt.,0.24,Solar,#FFFF00,TWh
Wind,Curt.,0.44,Wind,#27AE34,TWh
Elec,Storage,0.31,Electricity,#00BFFF,TWh
Storage,Elec demand,0.22,Electricity,#00BFFF,TWh
Elec,HPs,8.87,Electricity,#00BFFF,TWh
Elec,Heat HT,0.55,Electricity,#00BFFF,TWh
Imp. H2,H2,6.37,H2,#FF00FF,TWh
H2 prod,H2 sto.,0.00,H2,#FF00FF,TWh
H2 sto.,H2,0.00,H2,#FF00FF,TWh
H2 prod,H2,0.00,H2,#FF00FF,TWh
H2,Freight,6.37,H2,#FF00FF,TWh
CHP,Elec,10.63,Electricity,#00BFFF,TWh
CHP,Dec. sto,0.14,Heat LT,#FA8072,TWh
CHP,Heat LT Dec,0.75,Heat LT,#FA8072,TWh
CHP,DHN,1.61,Heat LT,#FA8072,TWh
CHP,Heat HT,8.12,Heat HT,#DC143C,TWh
HPs,Dec. sto,2.18,Heat LT,#FA8072,TWh
HPs,Heat LT Dec,31.85,Heat LT,#FA8072,TWh
HPs,DHN,16.00,Heat LT,#FA8072,TWh
Boilers,Dec. sto,0.95,Heat LT,#FA8072,TWh
Boilers,Heat LT Dec,71.20,Heat LT,#FA8072,TWh
Dec. sto,Heat LT Dec,3.18,Heat LT,#FA8072,TWh
Boilers,DHN,0.38,Heat LT,#FA8072,TWh
Boilers,Heat HT,58.71,Heat HT,#DC143C,TWh
DHN,Heat LT DHN,13.23,Heat LT,#FA8072,TWh
DHN,Loss DHN,0.90,Heat LT,#FA8072,TWh
DHN,DHN Sto,3.86,Heat LT,#FA8072,TWh
DHN Sto,Heat LT DHN,3.74,Heat LT,#FA8072,TWh
